,Number,Initial Impact Location_x,Principal Damage Location_x,Extent of Damage_x,Vehicle Type_x,Vehicle Use_x,V_Age_x,Initial Impact Location_y,Principal Damage Location_y,Extent of Damage_y,Vehicle Type_y,Vehicle Use_y,V_Age_y
0,2017040217-036-A               ,06,06,02,01,01,10.0,06,06,02,01,01,10.0
1,2017040217-067-A               ,03,04,04,04,01,6.0,12,12,04,01,01,12.0
2,2017040217-161-A               ,12,12,02,01,01,1.0,06,03,04,08,01,10.0
3,2017040217-194-A               ,02,02,03,01,01,16.0,07,17,02,31,01,9.0
4,2017040217-280-A               ,12,12,04,01,02,8.0,06,06,02,05,01,17.0
5,2017040217-381-A               ,01,01,02,01,01,10.0,05,05,02,05,01,3.0
6,2017040217-394-A               ,12,12,04,01,01,13.0,06,06,04,01,01,4.0
7,2017040217-428-A               ,12,12,04,04,01,6.0,03,04,04,30,02,4.0
8,2017040217-467-A               ,11,11,03,01,01,16.0,07,07,04,01,01,4.0
9,201704031705061692             ,10,09,01,01,01,6.0,10,09,02,01,01,6.0
10,201704031709150415             ,17,17,01,04,01,6.0,17,17,02,04,01,6.0
11,201704032017-000044            ,12,12,02,01,01,13.0,03,03,03,01,01,5.0
12,201704032017-000082            ,13,13,02,25,02,17.0,13,13,02,25,02,17.0
13,201704032017-000121            ,09,09,04,05,01,3.0,12,12,03,10,01,0.5
14,201704032017-000174            ,09,09,02,05,02,2.0,06,06,02,01,01,13.0
15,201704032017-000195            ,03,03,02,01,01,3.0,10,09,02,01,01,9.0
16,201704032017-000208            ,08,08,02,05,02,1.0,08,08,02,05,02,1.0
17,201704032017-000276            ,11,12,03,01,01,12.0,01,02,04,01,02,3.0
18,201704032017-000315            ,09,09,03,01,01,6.0,02,02,03,01,01,1.0
19,201704032017-000380            ,06,06,03,04,01,12.0,12,12,03,04,01,4.0
20,201704032017-000384            ,01,01,03,01,01,2.0,07,02,04,01,01,13.0
21,201704032017-000406            ,10,10,03,01,01,16.0,02,02,03,01,01,2.0
22,201704032017-000493            ,01,02,04,04,01,10.0,02,04,04,05,02,1.0
23,201704032017-000639            ,06,06,02,01,01,8.0,12,11,03,01,01,12.0
24,201704032017-000661            ,01,01,04,01,01,2.0,01,01,02,01,01,2.0
25,201704032017-000740            ,06,06,03,01,01,12.0,12,12,02,04,01,16.0
26,201704032017-000818            ,06,06,02,04,01,11.0,12,12,03,01,01,7.0
27,201704032017-000823            ,10,10,04,01,01,9.0,10,10,02,01,01,9.0
28,201704032017-001081            ,07,07,03,04,01,6.0,01,01,03,04,01,3.0
29,201704032017-001121            ,09,09,02,01,03,10.0,09,09,02,01,03,10.0
30,201704032017-001232            ,03,03,02,31,02,9.0,09,09,02,10,01,1.0
31,201704032017-001307            ,05,05,02,01,01,14.0,01,01,03,01,01,14.0
32,201704032017-001390            ,11,03,02,04,01,11.0,04,03,03,01,01,11.0
33,201704032017-001400            ,11,11,04,01,01,1.0,11,11,02,01,01,1.0
34,201704032017-001484            ,06,06,02,04,01,5.0,06,12,03,01,01,13.0
35,201704032017-001485            ,09,10,04,01,01,4.0,12,12,02,01,01,5.0
36,201704032017-001738            ,11,11,04,01,01,13.0,03,03,03,02,01,15.0
37,201704032017-0017483           ,11,10,04,01,01,5.0,11,10,02,01,01,5.0
38,201704032017-002002            ,01,02,04,04,01,3.0,01,02,02,04,01,3.0
39,201704032017-002149            ,03,03,02,22,02,1.0,03,03,02,22,02,1.0
40,201704032017-002173            ,12,12,03,01,01,11.0,06,06,03,01,01,8.0
41,201704032017-002345            ,06,06,02,03,01,11.0,12,12,02,04,01,14.0
42,201704032017-002406            ,03,03,03,01,01,5.0,11,11,02,01,01,18.0
43,201704032017-002413            ,12,12,02,05,01,2.0,06,06,03,01,01,3.0
44,201704032017-002422            ,03,03,03,01,01,15.0,11,11,03,01,01,7.0
45,201704032017-002424            ,04,04,02,23,02,1.0,04,04,02,23,02,1.0
46,201704032017-002456            ,10,10,03,01,01,6.0,10,10,02,01,01,6.0
47,201704032017-002681            ,11,12,04,01,01,11.0,09,09,03,05,01,12.0
48,201704032017-002748            ,10,10,03,01,01,23.0,07,07,03,05,01,23.0
49,201704032017-002797            ,09,09,04,04,01,3.0,04,17,01,23,02,12.0
50,201704032017-002847            ,02,02,04,01,01,7.0,10,10,04,01,01,1.0
51,201704032017-002996            ,05,05,03,04,01,14.0,11,11,02,22,02,2.0
52,201704032017-003110            ,01,01,02,01,01,13.0,07,07,02,01,01,2.0
53,201704032017-003145            ,02,03,03,01,01,4.0,11,11,03,01,01,10.0
54,201704032017-003244            ,06,06,02,01,01,3.0,12,12,02,01,01,9.0
55,201704032017-003366            ,03,03,03,01,01,11.0,03,03,02,01,01,11.0
56,201704032017-003414            ,01,01,03,,01,11.0,01,01,02,,01,11.0
57,201704032017-003433            ,06,06,02,08,01,1.0,12,12,02,01,01,12.0
58,201704032017-003508            ,02,02,02,05,01,15.0,07,07,02,01,01,7.0
59,201704032017-003524            ,06,06,02,04,01,10.0,12,12,03,01,01,17.0
60,201704032017-003550            ,08,08,02,01,02,1.0,17,17,01,20,02,12.0
61,201704032017-003589            ,09,09,02,01,01,9.0,03,03,02,01,01,2.0
62,201704032017-003726            ,06,06,02,01,01,4.0,12,12,02,01,01,2.0
63,201704032017-003780            ,06,06,02,23,02,8.0,12,12,03,01,01,2.0
64,201704032017-003854            ,09,09,03,01,01,11.0,11,11,03,01,01,7.0
65,201704032017-003857            ,06,06,02,01,01,2.0,06,12,02,01,01,11.0
66,201704032017-003880            ,06,06,02,05,02,27.0,12,12,04,01,02,11.0
67,201704032017-003943            ,01,01,02,01,01,2.0,01,01,02,01,01,2.0
68,201704032017-004005            ,10,10,02,05,01,9.0,10,10,02,05,01,9.0
69,201704032017-004020            ,06,06,02,01,01,3.0,12,12,02,01,01,7.0
70,201704032017-004055            ,06,06,02,01,01,11.0,12,12,02,01,01,2.0
71,201704032017-004183            ,06,06,02,01,01,10.0,12,12,03,01,00,9.0
72,201704032017-004196            ,11,11,03,01,01,13.0,11,11,02,01,01,13.0
73,201704032017-004286            ,12,12,04,03,02,2.0,12,12,02,03,02,2.0
74,201704032017-004327            ,12,11,04,01,01,6.0,09,08,02,04,02,0.5
75,201704032017-004343            ,12,12,02,04,01,13.0,06,06,02,01,01,17.0
76,201704032017-004494            ,06,06,03,01,01,6.0,12,12,03,05,01,13.0
77,201704032017-004651            ,08,08,03,01,01,1.0,02,02,03,01,01,11.0
78,201704032017-005137            ,14,12,04,01,01,6.0,14,12,02,01,01,6.0
79,201704032017-005229            ,06,06,01,,01,1.0,09,09,02,,02,7.0
80,201704032017-005234            ,12,01,04,05,02,2.0,12,11,04,01,01,9.0
81,201704032017-005407            ,06,06,02,01,01,2.0,12,12,02,01,01,8.0
82,201704032017-005583            ,07,07,02,04,01,3.0,03,03,02,01,01,15.0
83,201704032017-005587            ,03,12,04,01,01,9.0,06,07,04,04,01,10.0
84,201704032017-005667            ,01,03,02,04,01,2.0,01,03,02,04,01,2.0
85,201704032017-005889            ,06,06,03,01,01,6.0,12,12,02,04,01,17.0
86,201704032017-005914            ,12,14,02,01,01,3.0,12,14,02,01,01,3.0
87,201704032017-006361            ,10,10,03,01,01,3.0,01,01,02,01,01,13.0
88,201704032017-006549            ,11,11,03,04,01,6.0,11,11,02,04,01,6.0
89,201704032017-006567            ,06,06,02,01,01,1.0,12,12,04,01,01,16.0
90,201704032017-006599            ,03,03,03,01,01,22.0,11,11,03,01,01,11.0
91,201704032017-006616            ,09,09,02,01,01,1.0,09,09,02,01,01,1.0
92,201704032017-006619            ,01,01,03,01,01,4.0,01,01,02,01,01,4.0
93,201704032017-006645            ,01,01,04,01,01,11.0,07,07,04,05,01,15.0
94,201704032017-006679            ,06,06,02,01,01,22.0,12,12,02,01,01,10.0
95,201704032017-006753            ,12,12,03,01,01,2.0,03,03,03,01,01,4.0
96,201704032017-006771            ,01,01,02,01,01,4.0,07,01,02,31,02,7.0
97,201704032017-006792            ,12,14,04,01,01,11.0,12,14,02,01,01,11.0
98,201704032017-006907            ,12,12,03,05,01,4.0,06,06,03,04,01,0.5
99,201704032017-007007            ,03,09,02,01,01,6.0,10,17,01,29,02,10.0
100,201704032017-007063            ,06,06,02,04,01,6.0,12,01,04,05,01,15.0
101,201704032017-007313            ,03,03,03,01,01,11.0,11,11,03,04,01,14.0
102,20170403A310-2017-00027A       ,12,12,02,29,02,2.0,06,12,04,01,01,12.0
103,20170403A310-2017-00043A       ,12,12,04,01,01,2.0,06,06,02,01,02,9.0
104,20170403A310-2017-00113A       ,12,12,02,01,01,12.0,06,06,02,04,01,10.0
105,20170403A310-2017-00154A       ,12,12,04,01,01,17.0,06,06,03,01,01,9.0
106,20170403A310-2017-00201A       ,12,12,04,01,01,19.0,06,06,02,01,01,10.0
107,20170403A310-2017-00231A       ,11,11,04,05,01,18.0,11,11,02,05,01,18.0
108,20170403A310-2017-00310A       ,12,12,02,01,01,9.0,06,06,02,01,01,7.0
109,20170403A310-2017-00315A       ,11,11,02,01,01,6.0,11,11,02,01,01,6.0
110,20170403A310-2017-00379A       ,12,12,04,04,01,6.0,06,06,04,01,01,7.0
111,20170403A310-2017-00380A       ,12,12,04,01,01,19.0,06,06,03,01,01,3.0
112,20170403A310-2017-00404A       ,12,17,01,01,01,7.0,06,17,01,01,01,5.0
113,20170403A310-2017-00448A       ,12,12,02,01,01,16.0,06,12,02,01,01,12.0
114,20170403A310-2017-00477A       ,12,12,03,01,01,19.0,06,06,03,01,01,3.0
115,20170403A310-2017-00514A       ,12,12,04,01,01,15.0,06,06,02,05,01,2.0
116,20170403A310-2017-00584A       ,12,12,04,02,01,15.0,06,06,04,02,01,2.0
117,20170403A310-2017-00589A       ,12,12,03,25,02,0.5,06,06,03,01,01,5.0
118,20170403A310-2017-00615A       ,12,12,04,01,01,5.0,12,12,03,04,01,2.0
119,20170403A310-2017-00666A       ,01,17,02,04,01,9.0,06,06,02,05,01,42.0
120,20170403A310-2017-00677A       ,12,12,04,04,01,14.0,06,06,03,04,01,9.0
121,20170403A310-2017-00697A       ,01,01,03,01,01,3.0,07,07,03,01,01,6.0
122,20170403A310-2017-00716A       ,12,12,04,04,01,20.0,06,06,04,04,01,11.0
123,20170403A310-2017-00747A       ,12,12,04,01,01,1.0,06,06,02,01,01,6.0
124,20170403A310-2017-00788A       ,02,02,02,20,02,6.0,09,09,03,04,01,2.0
125,20170403A310-2017-00814A       ,02,12,04,01,01,3.0,02,12,02,01,01,3.0
126,20170403A310-2017-00827A       ,09,09,02,01,01,15.0,03,03,02,01,01,4.0
127,20170403A310-2017-00911A       ,06,06,02,01,01,7.0,06,06,02,01,01,7.0
128,20170403A310-2017-00912A       ,11,11,03,01,01,1.0,05,05,02,01,02,2.0
129,20170403A310-2017-00917A       ,12,12,04,04,01,9.0,06,06,03,01,01,5.0
130,20170403A310-2017-00975A       ,12,12,02,01,01,0.5,06,06,02,04,01,2.0
131,20170403A310-2017-00999A       ,10,03,04,01,01,16.0,10,03,02,01,01,16.0
132,20170403A310-2017-01054A       ,11,10,04,04,01,5.0,05,05,04,01,01,8.0
133,20170403A310-2017-01057A       ,12,12,04,05,01,10.0,06,06,03,01,01,2.0
134,20170403A310-2017-01096A       ,12,12,04,01,01,14.0,06,06,04,01,01,6.0
135,20170403A310-2017-01120A       ,01,01,02,01,01,17.0,01,01,02,01,01,17.0
136,20170403A310-2017-01126A       ,06,06,02,01,01,3.0,12,12,02,04,01,11.0
137,20170403A310-2017-01164A       ,02,02,02,05,01,0.5,07,07,02,04,01,1.0
138,20170403A310-2017-01213A       ,02,09,03,01,01,10.0,09,03,02,01,01,2.0
139,20170403A310-2017-01214A       ,09,09,02,01,01,10.0,09,09,02,01,01,10.0
140,20170403A310-2017-01229A       ,12,12,02,10,02,3.0,06,06,02,01,01,18.0
141,20170403A310-2017-01274A       ,12,12,04,05,01,2.0,06,06,04,02,01,12.0
142,20170403A310-2017-01304A       ,12,12,02,01,01,25.0,06,06,02,01,01,2.0
143,20170403A310-2017-01319A       ,12,12,02,05,01,11.0,06,06,03,01,01,1.0
144,20170403A310-2017-01323A       ,12,12,02,01,01,13.0,06,06,02,04,01,0.5
145,20170403A310-2017-01346A       ,12,12,03,04,01,5.0,06,06,02,05,01,1.0
146,20170403A310-2017-01485A       ,12,12,04,05,01,9.0,06,06,02,04,01,3.0
147,20170403A310-2017-01595A       ,12,12,04,01,01,11.0,06,06,03,01,01,1.0
148,20170403A310-2017-01639A       ,12,12,03,03,02,5.0,06,06,03,01,01,11.0
149,20170403A310-2017-01658A       ,09,03,03,05,02,6.0,03,03,03,04,01,4.0
150,20170403A310-2017-01688A       ,12,12,03,01,01,14.0,06,06,03,01,01,1.0
151,20170403A310-2017-01706A       ,12,12,02,30,02,5.0,06,17,01,04,01,12.0
152,20170403A310-2017-01753A       ,12,12,03,01,01,16.0,06,06,02,04,01,1.0
153,20170403A310-2017-01754A       ,01,01,04,01,01,18.0,01,07,04,04,01,9.0
154,20170403A310-2017-01831A       ,12,12,02,01,01,10.0,06,06,02,02,02,1.0
155,20170403A310-2017-01883A       ,12,12,02,04,01,8.0,06,06,02,01,01,3.0
156,20170403A310-2017-01894A       ,02,02,03,23,02,4.0,09,09,03,01,01,1.0
157,20170403A310-2017-01922A       ,09,09,02,01,01,1.0,03,03,02,20,02,0.5
158,20170403A310-2017-01946A       ,12,12,03,01,01,0.5,12,12,02,01,01,0.5
159,20170403A310-2017-01958A       ,01,01,03,05,01,5.0,07,07,03,05,01,12.0
160,20170403A310-2017-01959A       ,02,02,03,01,01,10.0,11,11,03,01,01,1.0
161,20170403A310-2017-01975A       ,11,11,04,01,01,12.0,05,05,04,01,01,1.0
162,20170403A310-2017-02001A       ,12,12,02,01,01,19.0,06,06,02,01,01,5.0
163,20170403A310-2017-02009A       ,03,09,04,01,01,9.0,03,09,02,01,01,9.0
164,20170403A310-2017-02054A       ,02,05,04,04,01,12.0,02,05,02,04,01,12.0
165,20170403A310-2017-02074A       ,01,01,03,01,01,16.0,10,10,04,01,01,12.0
166,20170403A310-2017-02165A       ,09,09,03,01,01,4.0,09,09,02,01,01,4.0
167,20170403A310-2017-02188A       ,12,12,04,02,01,13.0,06,06,03,04,01,6.0
168,20170403A310-2017-02197A       ,03,03,02,29,02,4.0,03,03,02,29,02,4.0
169,20170403A310-2017-02307A       ,12,12,02,01,01,9.0,06,06,02,01,01,1.0
170,20170403A310-2017-02315A       ,12,12,04,25,02,17.0,06,06,03,25,02,1.0
171,20170403A310-2017-02368A       ,12,12,04,01,01,9.0,06,12,03,01,01,11.0
172,20170403A310-2017-02370A       ,11,11,04,01,01,5.0,11,11,02,01,01,5.0
173,20170403A310-2017-02384A       ,12,12,01,04,01,3.0,06,06,03,04,01,0.5
174,20170403A310-2017-02430A       ,12,12,04,04,01,18.0,12,12,02,04,01,18.0
175,20170403A310-2017-02436A       ,12,12,04,01,01,17.0,12,12,02,01,01,17.0
176,20170403A310-2017-02440A       ,12,12,03,01,01,17.0,06,06,02,01,01,10.0
177,20170403A310-2017-02443A       ,11,07,04,01,01,13.0,11,07,02,01,01,13.0
178,20170403A310-2017-02469A       ,11,11,04,01,01,17.0,05,05,04,01,01,2.0
179,20170403A310-2017-02638A       ,01,01,02,01,01,10.0,06,06,02,05,01,3.0
180,20170403A310-2017-02647A       ,12,12,04,04,01,7.0,06,06,02,04,01,0.3
181,20170403A310-2017-02715A       ,12,12,02,01,01,10.0,06,06,02,01,01,19.0
182,20170403A310-2017-02777A       ,12,12,02,01,01,12.0,06,06,02,01,01,0.5
183,20170403A310-2017-02837A       ,12,12,04,01,01,9.0,06,06,04,01,01,12.0
184,20170403A310-2017-02857A       ,12,12,04,01,01,7.0,06,06,03,04,01,0.3
185,20170403A310-2017-02914A       ,12,12,02,01,02,0.5,06,06,02,01,01,12.0
186,20170403A310-2017-02915A       ,12,12,04,01,01,16.0,06,06,04,01,01,0.5
187,20170403A310-2017-02979A       ,12,12,04,01,01,6.0,06,06,02,05,01,6.0
188,20170403A310-2017-02983A       ,04,04,02,01,01,9.0,09,09,02,01,01,3.0
189,20170403A310-2017-03001A       ,01,01,03,01,01,1.0,01,01,02,01,01,1.0
190,20170403A310-2017-03008A       ,12,12,03,05,01,3.0,12,06,04,01,01,0.5
191,20170403A310-2017-03057A       ,12,12,04,01,01,7.0,06,06,03,04,01,3.0
192,20170403A310-2017-03060A       ,12,12,03,01,01,5.0,06,06,03,01,01,4.0
193,20170403A310-2017-03073A       ,12,12,04,01,01,16.0,06,06,03,04,01,5.0
194,20170403A310-2017-03117A       ,09,09,02,01,01,13.0,03,03,02,04,01,5.0
195,20170403A310-2017-03118A       ,07,07,02,01,01,4.0,11,11,02,01,01,5.0
196,20170403D020-2017-00113A       ,11,11,04,01,01,12.0,11,11,02,01,01,12.0
197,20170403D020-2017-00269A       ,12,12,03,01,01,1.0,06,06,02,04,01,6.0
198,20170403D020-2017-00326A       ,12,12,04,25,02,3.0,06,06,04,25,02,12.0
199,20170403D020-2017-00375A       ,09,09,02,01,01,2.0,01,01,02,01,01,7.0
200,20170403D020-2017-00399A       ,12,12,02,05,01,23.0,06,06,03,01,01,14.0
201,20170403D020-2017-00446A       ,06,06,02,01,01,12.0,06,06,02,01,01,12.0
202,20170403D020-2017-00610A       ,11,11,04,03,02,2.0,11,11,02,03,02,2.0
203,20170403D020-2017-00630A       ,02,02,02,02,04,4.0,10,10,02,19,01,16.0
204,20170403D020-2017-00646A       ,11,15,04,04,01,11.0,11,15,02,04,01,11.0
205,20170403D020-2017-00806A       ,12,12,04,04,01,3.0,06,06,02,10,02,1.0
206,201704042                      ,06,12,03,01,01,16.0,06,12,03,01,01,6.0
207,20170404201700008              ,06,06,02,25,02,4.0,12,12,03,01,01,15.0
208,201704042017000285             ,05,05,03,01,01,15.0,11,11,02,04,01,12.0
209,201704042017000500             ,12,12,02,01,01,4.0,06,06,02,01,01,2.0
210,201704042017000631             ,12,12,02,04,01,15.0,06,06,02,01,01,5.0
211,201704042017000765             ,12,12,03,01,01,11.0,04,04,03,05,02,2.0
212,201704042017000777             ,02,02,04,04,01,13.0,02,02,02,04,01,13.0
213,201704042017000808             ,12,12,04,01,01,2.0,12,12,04,04,01,7.0
214,201704042017000842             ,10,10,03,01,01,0.5,04,04,03,01,01,4.0
215,201704042017000850             ,12,12,02,03,02,2.0,06,06,03,04,01,5.0
216,201704042017000913             ,12,12,04,01,01,14.0,06,06,02,04,01,1.0
217,201704042017001114             ,01,01,04,01,01,4.0,08,08,04,01,01,11.0
218,201704042017001157             ,12,12,02,01,01,19.0,06,06,02,01,01,4.0
219,201704042017001175             ,11,11,03,01,01,16.0,01,12,04,01,01,12.0
220,201704042017001186             ,03,01,03,04,00,12.0,03,11,04,05,01,8.0
221,201704042017001247             ,12,12,02,01,01,9.0,06,06,02,01,01,5.0
222,201704042017001275             ,12,12,04,01,01,10.0,12,12,02,01,01,10.0
223,201704042017001301             ,12,12,04,01,02,2.0,06,06,03,04,01,2.0
224,201704042017001322             ,12,12,03,01,01,4.0,12,12,02,01,01,4.0
225,201704042017001475             ,06,06,02,04,01,4.0,04,04,01,25,02,5.0
226,201704042017001582             ,06,05,02,05,01,15.0,11,11,03,01,01,17.0
227,201704042017001707             ,10,10,04,01,01,1.0,06,08,01,25,02,2.0
228,201704042017001755             ,12,12,03,01,01,6.0,06,06,03,02,01,6.0
229,201704042017001807             ,07,07,03,01,01,2.0,06,06,02,01,01,2.0
230,201704042017001867             ,12,12,03,01,01,15.0,06,06,03,01,01,2.0
231,201704042017001916             ,12,14,02,01,01,13.0,12,14,02,01,01,13.0
232,201704042017001987             ,12,12,02,01,01,15.0,06,06,02,05,01,2.0
233,201704042017002052             ,06,17,01,20,01,5.0,06,17,02,20,01,5.0
234,201704042017002083             ,01,01,03,01,01,9.0,07,07,03,01,01,17.0
235,201704042017002103             ,01,01,04,,01,1.0,01,01,02,,01,1.0
236,201704042017002149             ,12,12,03,01,01,14.0,08,08,04,04,01,15.0
237,201704042017002198             ,10,10,02,01,01,3.0,02,02,02,05,01,15.0
238,201704042017002236             ,12,12,02,04,01,12.0,06,06,02,01,01,9.0
239,201704042017002307             ,12,12,02,01,01,12.0,06,06,02,04,01,9.0
240,201704042017002369             ,06,06,02,04,01,23.0,12,12,04,01,01,8.0
241,201704042017002603             ,12,12,02,04,01,2.0,06,06,02,04,01,9.0
242,201704042017002713             ,12,12,04,01,01,11.0,12,12,04,01,01,17.0
243,201704042017002717             ,12,12,04,01,01,19.0,12,12,02,01,01,19.0
244,201704042017002759             ,12,12,04,01,01,24.0,12,12,02,01,01,24.0
245,201704042017002780             ,12,12,04,01,01,21.0,08,12,04,01,01,14.0
246,201704042017002973             ,03,03,04,08,01,5.0,03,03,02,08,01,5.0
247,201704042017003015             ,12,12,03,25,02,1.0,06,06,03,21,02,4.0
248,201704042017003096             ,02,02,02,08,01,10.0,02,02,02,08,01,10.0
249,201704042017003132             ,12,12,03,01,01,5.0,12,12,02,01,01,5.0
250,201704042017003362             ,12,17,01,05,01,0.5,12,17,02,05,01,0.5
251,201704042017003581             ,12,12,02,01,01,15.0,11,11,04,01,01,7.0
252,201704042017003584             ,01,01,04,01,01,12.0,01,01,02,01,01,12.0
253,201704042017003618             ,10,10,02,01,01,2.0,10,10,02,01,01,2.0
254,201704042017003636             ,02,02,04,01,01,19.0,07,07,04,04,01,12.0
255,201704042017003697             ,12,12,04,01,01,11.0,06,06,02,01,01,5.0
256,201704042017003723             ,12,12,02,26,02,4.0,06,06,03,01,01,9.0
257,201704042017003767             ,12,12,04,04,01,8.0,06,06,03,04,01,6.0
258,201704042017003845             ,12,12,02,01,01,6.0,06,06,02,20,02,11.0
259,201704042017003858             ,12,12,02,20,02,9.0,06,06,04,01,01,5.0
